0, (67,615)
0, (67,615)
0, (67,615)
0, (67,615)
0, (67,615)
0, (67,615)
0, (67,615)
0, (69,615)
0, (72,615)
0, (74,615)
0, (79,615)
0, (84,615)
0, (91,615)
0, (99,616)
0, (107,616)
0, (118,616)
0, (127,617)
0, (139,616)
0, (153,617)
0, (168,616)
0, (182,615)
0, (201,617)
0, (217,617)
0, (234,617)
1, (251,616)
1, (271,616)
1, (290,616)
1, (311,615)
1, (331,615)
1, (350,615)
1, (369,616)
1, (387,616)
1, (406,617)
1, (424,617)
1, (444,616)
1, (465,576)
1, (490,530)
1, (516,488)
1, (545,447)
1, (579,403)
1, (609,362)
1, (643,322)
1, (677,288)
1, (712,255)
1, (746,224)
1, (780,200)
1, (815,178)
1, (852,157)
2, (888,139)
2, (925,128)
2, (962,120)
2, (996,112)
2, (1034,111)
2, (1072,115)
2, (1109,122)
2, (1146,132)
2, (1181,144)
2, (1213,153)
2, (1207,132)
2, (1202,109)
2, (1196,87)
2, (1189,67)
2, (1182,52)
2, (1178,39)
2, (1173,33)
2, (1170,33)
2, (1165,36)
2, (1162,47)
2, (1159,64)
2, (1158,84)
2, (1157,110)
2, (1155,138)
3, (1153,171)
3, (1153,205)
3, (1154,236)
3, (1156,250)
3, (1155,226)
3, (1153,199)
3, (1153,173)
3, (1154,146)
3, (1153,122)
3, (1154,98)
3, (1154,78)
3, (1154,60)
3, (1153,44)
3, (1153,34)
3, (1154,30)
3, (1155,28)
3, (1155,27)
3, (1154,28)
3, (1154,30)
3, (1153,34)
3, (1153,40)
3, (1153,47)
3, (1152,53)
3, (1114,49)
4, (1074,46)
4, (1035,45)
4, (996,44)
4, (960,41)
4, (923,40)
4, (887,39)
4, (850,40)
4, (816,40)
4, (781,39)
4, (749,38)
4, (717,38)
4, (689,38)
4, (660,38)
4, (635,38)
4, (612,38)
4, (594,38)
4, (579,37)
4, (567,37)
4, (562,37)
4, (560,37)
4, (562,37)
4, (567,37)
4, (574,37)
4, (582,37)
5, (590,37)
5, (598,38)
5, (606,38)
5, (613,37)
5, (617,38)
5, (579,42)
5, (540,34)
5, (508,30)
5, (472,28)
5, (438,26)
5, (403,26)
5, (366,25)
5, (330,29)
5, (293,34)
5, (258,47)
5, (226,64)
5, (195,86)
5, (167,110)
5, (137,138)
5, (112,166)
5, (86,198)
5, (75,235)
5, (85,279)
5, (92,317)
6, (95,362)
6, (96,409)
6, (99,458)
6, (100,504)
6, (99,547)
6, (100,540)
6, (100,523)
6, (100,507)
6, (99,496)
6, (99,491)
6, (99,490)
6, (100,496)
6, (101,509)
6, (101,527)
6, (102,549)
6, (104,578)
6, (121,613)
6, (150,614)
6, (179,615)
6, (204,614)
6, (228,615)
6, (252,616)
6, (275,616)
6, (296,617)
7, (315,617)
7, (333,616)
7, (348,615)
7, (360,615)
7, (370,615)
7, (378,616)
7, (383,616)
7, (387,616)
7, (389,615)
7, (391,615)
7, (397,615)
7, (402,615)
7, (409,615)
7, (419,616)
7, (429,616)
7, (442,616)
7, (454,617)
7, (470,616)
7, (485,616)
7, (503,615)
7, (520,615)
7, (540,617)
7, (558,616)
7, (578,617)
